organization,package,first_commit_date,last_commit_date,commit_count,first_month
swift-foundations,swift-feature-flags,2026-01-28 22:54:08 +0100,2026-01-28 22:54:08 +0100,1,2026-01
swift-foundations,swift-file-system,2026-01-11 22:06:41 +0100,2026-04-13 13:30:51 +0200,65,2026-01
swift-foundations,swift-graceful-shutdown,2026-01-28 22:54:14 +0100,2026-01-28 22:54:14 +0100,1,2026-01
swift-foundations,swift-health,2026-01-28 22:54:16 +0100,2026-01-28 22:54:16 +0100,1,2026-01
swift-foundations,swift-html-rendering,2026-03-02 13:06:20 +0100,2026-04-08 10:48:36 +0200,27,2026-03
swift-foundations,swift-html,2026-03-12 14:41:47 +0100,2026-04-02 10:55:29 +0200,11,2026-03
swift-foundations,swift-http-body,2026-01-28 22:54:19 +0100,2026-01-28 22:54:19 +0100,1,2026-01
swift-foundations,swift-http-compression,2026-01-28 22:54:22 +0100,2026-01-28 22:54:22 +0100,1,2026-01
swift-foundations,swift-http-content-negotiation,2026-01-28 22:54:24 +0100,2026-01-28 22:54:24 +0100,1,2026-01
swift-foundations,swift-http-cookies,2026-01-28 22:54:27 +0100,2026-01-28 22:54:27 +0100,1,2026-01
swift-foundations,swift-http-cors,2026-01-28 22:54:29 +0100,2026-01-28 22:54:29 +0100,1,2026-01
swift-foundations,swift-http-etag,2026-01-28 22:54:32 +0100,2026-01-28 22:54:32 +0100,1,2026-01
swift-foundations,swift-http-headers,2026-01-28 22:54:34 +0100,2026-01-28 22:54:34 +0100,1,2026-01
swift-foundations,swift-http-range,2026-01-28 22:54:37 +0100,2026-01-28 22:54:37 +0100,1,2026-01
swift-foundations,swift-http-redirect,2026-01-28 22:54:40 +0100,2026-01-28 22:54:40 +0100,1,2026-01
swift-foundations,swift-http-routing,2026-01-28 22:54:43 +0100,2026-01-28 22:54:43 +0100,1,2026-01
swift-foundations,swift-http,2026-01-28 22:54:45 +0100,2026-01-28 22:54:45 +0100,1,2026-01
swift-foundations,swift-http2,2026-01-28 22:54:48 +0100,2026-01-28 22:54:48 +0100,1,2026-01
swift-foundations,swift-http3,2026-01-28 22:54:51 +0100,2026-01-28 22:54:51 +0100,1,2026-01
swift-foundations,swift-identities,2026-01-17 09:40:31 +0100,2026-04-09 15:13:00 +0200,10,2026-01
swift-foundations,swift-intermediate-representation,2026-01-19 22:24:30 +0100,2026-04-02 10:55:31 +0200,6,2026-01
swift-foundations,swift-io-state-investigation,2026-01-10 23:32:26 +0100,2026-04-13 20:10:18 +0200,306,2026-01
swift-foundations,swift-io,2026-01-10 23:32:26 +0100,2026-04-14 19:08:24 +0200,346,2026-01
swift-foundations,swift-ip-address,2026-03-13 22:01:53 +0100,2026-04-02 10:55:33 +0200,4,2026-03
swift-foundations,swift-json-feed,2026-03-13 22:01:53 +0100,2026-04-02 10:55:33 +0200,4,2026-03
swift-foundations,swift-json-web-encryption,2026-01-28 22:55:00 +0100,2026-01-28 22:55:00 +0100,1,2026-01
swift-foundations,swift-json-web-key,2026-01-28 22:55:04 +0100,2026-01-28 22:55:04 +0100,1,2026-01
swift-foundations,swift-json-web-signature,2026-01-28 22:55:06 +0100,2026-01-28 22:55:06 +0100,1,2026-01
swift-foundations,swift-json-web-token,2026-01-28 22:55:08 +0100,2026-01-28 22:55:08 +0100,1,2026-01
swift-foundations,swift-json,2026-01-14 00:27:14 +0100,2026-04-08 10:48:37 +0200,16,2026-01
swift-foundations,swift-kernel,2025-12-30 16:49:20 +0100,2026-04-14 16:15:47 +0200,332,2025-12
swift-foundations,swift-keyvalue,2026-01-28 22:55:14 +0100,2026-01-28 22:55:14 +0100,1,2026-01
swift-foundations,swift-least-recently-used,2026-01-28 22:55:17 +0100,2026-01-28 22:55:17 +0100,1,2026-01
swift-foundations,swift-lexer,2026-01-19 22:24:30 +0100,2026-04-08 12:56:48 +0200,7,2026-01
swift-foundations,swift-linux,2026-01-07 18:11:31 +0100,2026-04-13 14:59:02 +0200,61,2026-01
swift-foundations,swift-loader,2026-01-11 21:47:15 +0100,2026-04-10 13:29:53 +0200,14,2026-01
swift-foundations,swift-locale,2026-03-13 22:01:53 +0100,2026-04-02 10:55:38 +0200,4,2026-03
swift-foundations,swift-log-json,2026-01-28 22:55:25 +0100,2026-01-28 22:55:25 +0100,1,2026-01
swift-foundations,swift-log,2026-01-28 22:55:27 +0100,2026-01-28 22:55:27 +0100,1,2026-01
swift-foundations,swift-markdown-html-rendering,2026-03-12 14:41:49 +0100,2026-04-08 10:48:37 +0200,25,2026-03
swift-foundations,swift-memory,2026-01-09 17:28:59 +0100,2026-04-13 09:19:58 +0200,25,2026-01
swift-foundations,swift-metrics,2026-01-28 22:55:31 +0100,2026-01-28 22:55:31 +0100,1,2026-01
swift-foundations,swift-migrations,2026-01-28 22:55:33 +0100,2026-01-28 22:55:33 +0100,1,2026-01
swift-foundations,swift-module,2026-01-19 22:24:30 +0100,2026-04-02 10:55:40 +0200,6,2026-01
swift-foundations,swift-msgpack,2026-01-28 22:55:38 +0100,2026-01-28 22:55:38 +0100,1,2026-01
swift-foundations,swift-numerics,2026-01-11 13:16:52 +0100,2026-04-08 10:48:37 +0200,13,2026-01
swift-foundations,swift-oauth-pkce,2026-01-28 22:55:42 +0100,2026-01-28 22:55:42 +0100,1,2026-01
swift-foundations,swift-oauth,2026-01-28 22:55:44 +0100,2026-01-28 22:55:44 +0100,1,2026-01
swift-foundations,swift-parsers,2026-01-14 01:09:43 +0100,2026-04-08 14:12:26 +0200,23,2026-01
swift-foundations,swift-password,2026-01-28 22:55:50 +0100,2026-01-28 22:55:50 +0100,1,2026-01
swift-foundations,swift-paths,2026-01-12 18:09:57 +0100,2026-04-09 16:11:56 +0200,19,2026-01
swift-foundations,swift-pdf-html-rendering,2026-03-12 14:41:51 +0100,2026-04-08 10:48:37 +0200,35,2026-03
swift-foundations,swift-pdf-rendering,2026-03-12 14:41:53 +0100,2026-04-08 10:48:37 +0200,24,2026-03
swift-foundations,swift-pdf,2026-03-12 14:41:50 +0100,2026-04-08 10:48:37 +0200,23,2026-03
swift-foundations,swift-plist,2026-01-13 11:50:20 +0100,2026-04-08 10:48:37 +0200,15,2026-01
swift-foundations,swift-pool-connections,2026-01-28 22:55:56 +0100,2026-01-28 22:55:56 +0100,1,2026-01
